,subject,age,gender,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
115,worldofwarcraftexpert,22,f,116,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.4, 0.19999999999999996]",pink,pink,0.15,within,0,1259.019251
116,worldofwarcraftexpert,22,f,117,"[1, -0.775, -0.55]","[1, -0.7, -0.4]",pink,pink,0.15,within,1,1574.437962
117,worldofwarcraftexpert,22,f,118,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.55, -0.10000000000000009]",pink,pink,0.45,within,1,645.6152932
118,worldofwarcraftexpert,22,f,119,"[1, -0.475, 0.050000000000000044]","[1, -0.7, -0.4]",pink,pink,0.45,within,1,741.6045087
119,worldofwarcraftexpert,22,f,120,"[1, -0.475, 0.050000000000000044]","[1, -0.4, 0.19999999999999996]",pink,pink,0.15,within,1,884.055094
120,worldofwarcraftexpert,22,f,121,"[1, -0.7, -0.4]","[1, -0.55, -0.10000000000000009]",pink,pink,0.3,within,1,846.3371308
121,worldofwarcraftexpert,22,f,122,"[1, -0.85, -0.7]","[1, -0.475, 0.050000000000000044]",pink,pink,0.75,within,1,528.8650397
122,worldofwarcraftexpert,22,f,123,"[1, -0.625, -0.25]","[1, -0.55, -0.10000000000000009]",pink,pink,0.15,within,1,1441.745932
123,worldofwarcraftexpert,22,f,124,"[1, -0.925, -0.85]","[1, -1.0, -1.0]",red,red,0.15,within,1,1702.377417
124,worldofwarcraftexpert,22,f,125,"[1, -0.475, 0.050000000000000044]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.3,within,1,1150.078816
125,worldofwarcraftexpert,22,f,126,"[1, -0.7, -0.4]","[1, -0.775, -0.55]",pink,pink,0.15,within,1,1331.400499
126,worldofwarcraftexpert,22,f,127,"[1, -0.4, 0.19999999999999996]","[1, -0.775, -0.55]",pink,pink,0.75,within,1,733.2001688
127,worldofwarcraftexpert,22,f,128,"[1, -0.55, -0.10000000000000009]","[1, -0.7, -0.4]",pink,pink,0.3,within,1,904.1646725
128,worldofwarcraftexpert,22,f,129,"[1, -0.475, 0.050000000000000044]","[1, -1.0, -1.0]",pink,red,1.05,across,1,569.1411353
129,worldofwarcraftexpert,22,f,130,"[1, -0.925, -0.85]","[1, -0.85, -0.7]",red,pink,0.15,across,1,1063.854311
130,worldofwarcraftexpert,22,f,131,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.7, -0.4]",pink,pink,0.75,within,1,502.2649757
131,worldofwarcraftexpert,22,f,132,"[1, -0.55, -0.10000000000000009]","[1, -0.4, 0.19999999999999996]",pink,pink,0.3,within,1,895.0586031
132,worldofwarcraftexpert,22,f,133,"[1, -0.85, -0.7]","[1, -1.0, -1.0]",pink,red,0.3,across,1,1165.210116
133,worldofwarcraftexpert,22,f,134,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -1.0, -1.0]",pink,red,1.35,across,1,652.1786189
134,worldofwarcraftexpert,22,f,135,"[1, -0.925, -0.85]","[1, -0.475, 0.050000000000000044]",red,pink,0.9,across,1,705.0899501
135,worldofwarcraftexpert,22,f,136,"[1, -0.925, -0.85]","[1, -0.55, -0.10000000000000009]",red,pink,0.75,across,1,794.9241563
136,worldofwarcraftexpert,22,f,137,"[1, -0.925, -0.85]","[1, -0.775, -0.55]",red,pink,0.3,across,1,800.2563775
137,worldofwarcraftexpert,22,f,138,"[1, -0.925, -0.85]","[1, -0.7, -0.4]",red,pink,0.45,across,1,1190.473406
138,worldofwarcraftexpert,22,f,139,"[1, -0.7, -0.4]","[1, -0.475, 0.050000000000000044]",pink,pink,0.45,within,1,575.9409357
139,worldofwarcraftexpert,22,f,140,"[1, -1.0, -1.0]","[1, -0.475, 0.050000000000000044]",red,pink,1.05,across,1,639.1791816
140,worldofwarcraftexpert,22,f,141,"[1, -0.775, -0.55]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.9,within,1,465.5036833
141,worldofwarcraftexpert,22,f,142,"[1, -0.4, 0.19999999999999996]","[1, -0.625, -0.25]",pink,pink,0.45,within,1,664.4640156
